bedrooms,bathrooms,land_size_p,floor_area_sqft,storeys,district_enc,district_tier,colombo_premium,property_type_enc,negotiable,has_parking,has_pool,has_garden,has_furnished,has_ac,has_security,has_water,has_highway,has_generator,has_solar,log_price,price_lkr
4.0,3.0,7.0,3480.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.565014657424058,42500000.0
4.0,4.0,20.0,3400.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.71748324774094,49500000.0
5.0,4.0,11.0,3874.0,2.0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17.958645300228824,63000000.0
3.0,3.0,10.0,1707.0,2.0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,1,17.989897843244528,65000000.0
4.0,4.0,7.0,3500.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,17.822843761378564,55000000.0
4.0,4.0,8.0,3400.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,17.822843761378564,55000000.0
3.0,2.0,8.15,1366.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.906553056777135,22000000.0
4.0,3.0,6.0,2850.0,3.0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,17.840862266556567,56000000.0
4.0,3.0,12.5,3400.0,2.0,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,17.553180200057167,42000000.0
4.0,4.0,10.5,1570.0,2.0,3,1,1,0,1,0,0,1,1,1,0,0,0,0,0,17.73748391404757,50500000.0
4.0,3.0,6.3,2000.0,2.0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,17.553180200057167,42000000.0
4.0,3.0,10.0,2800.0,2.0,3,1,0,0,1,1,0,1,0,1,1,0,0,0,0,17.599700214609808,44000000.0
4.0,4.0,10.5,2700.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.491811255187805,39500000.0
4.0,3.0,6.5,2610.0,2.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,17.707330876483063,49000000.0
4.0,2.0,18.5,1800.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.840862266556567,56000000.0
3.0,2.0,6.0,1235.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.11134746100564,27000000.0
3.0,2.0,6.7,1770.0,2.0,5,2,0,0,0,1,0,1,0,1,1,0,0,0,0,16.951004817371683,23000000.0
4.0,3.0,12.3,3600.0,2.0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,18.258161826219297,85000000.0
